"season","season_sd","season_short"
"1975-76",0.105227484667323,"'75-'76"
"1976-77",0.0983309743645435,"'76-'77"
"1977-78",0.111355063721639,"'77-'78"
"1978-79",0.103462396707536,"'78-'79"
"1979-80",0.152133179579618,"'79-'80"
"1980-81",0.160614703573342,"'80-'81"
"1981-82",0.152740266245697,"'81-'82"
"1982-83",0.16128869606473,"'82-'83"
"1983-84",0.114584021677175,"'83-'84"
"1984-85",0.146240299837092,"'84-'85"
"1985-86",0.143670227908749,"'85-'86"
"1986-87",0.154436486810915,"'86-'87"
"1987-88",0.157496458332725,"'87-'88"
"1988-89",0.162221679603354,"'88-'89"
"1989-90",0.173985959088985,"'89-'90"
"1990-91",0.158107188928534,"'90-'91"
"1991-92",0.159478834255517,"'91-'92"
"1992-93",0.158417287683627,"'92-'93"
"1993-94",0.177251989569279,"'93-'94"
"1994-95",0.161307875719789,"'94-'95"
"1995-96",0.171273065758126,"'95-'96"
"1996-97",0.190922559288629,"'96-'97"
"1997-98",0.189447030433051,"'97-'98"
"1998-99",0.159284112740187,"'98-'99"
"1999-00",0.160986674478374,"'99-'00"
"2000-01",0.157159037456289,"'00-'01"
"2001-02",0.138006728614431,"'01-'02"
"2002-03",0.144202238936452,"'02-'03"
"2003-04",0.136086351534207,"'03-'04"
"2004-05",0.15477354982082,"'04-'05"
"2005-06",0.136324916132821,"'05-'06"
"2006-07",0.132280914080169,"'06-'07"
"2007-08",0.168753949293932,"'07-'08"
"2008-09",0.172128129901676,"'08-'09"
"2009-10",0.162958104057948,"'09-'10"
"2010-11",0.160662421845008,"'10-'11"
"2011-12",0.156132205253245,"'11-'12"
"2012-13",0.155200726535804,"'12-'13"
"2013-14",0.157560603191791,"'13-'14"
"2014-15",0.164142386325122,"'14-'15"
"2015-16",0.169324896839346,"'15-'16"
"2016-17",0.136448167077651,"'16-'17"
"2017-18",0.14908039950725,"'17-'18"
"2018-19",0.14670695240873,"'18-'19"
"2019-20",0.154428408440071,"'19-'20"
"2020-21",0.139022569076548,"'20-'21"
"2021-22",0.141027004832245,"'21-'22"
"2022-23",0.122312342776199,"'22-'23"
